% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.064183465e+03 +1.064183465e+03 +2.064183465e+03 +2.064183465e+03 -1.3450e+00 -1.3106e+00 -4.7523e+00 +2.2799e+00 -1.3020e+00 +1.4017e+00 -1.7202e+00 -4.6877e+00 -3.8466e+00 -9.4235e-01 -3.7615e-01 -4.2969e+00 -2.8461e+00 -4.6276e+00 +3.9243e+00 +2.7254e-01 +1.1189e+00 -5.7661e-01 +2.7489e+00 -4.4357e+00
11 +8.757594916e+02 +8.757594916e+02 +1.875759492e+03 +1.875759492e+03 +4.4160e+00 +4.5643e+00 +4.6552e+00 +4.3944e+00 +4.7618e+00 -3.3864e+00 +4.4186e-01 +3.3830e+00 +5.3155e-01 +1.0333e-01 -3.4975e+00 +3.6410e+00 -4.5808e+00 -3.8017e+00 +2.9175e+00 -3.4473e+00 -1.1185e+00 -3.2715e+00 +1.1742e+00 +4.0728e+00
368 +5.164847397e+02 +5.164847397e+02 +1.516484740e+03 +1.516484740e+03 +1.6389e+00 +9.1070e-01 +1.9386e-01 +3.6756e+00 +3.4904e+00 +7.5718e-01 -3.4035e+00 +5.0000e+00 -2.1090e+00 -4.0662e+00 -3.3612e+00 -1.4954e+00 +4.1175e-01 +4.6652e-01 +2.5041e+00 -1.1248e+00 +4.9657e+00 +3.0426e+00 -1.0636e+00 +4.8306e-01
1012 +3.595252475e+02 +3.595252475e+02 +1.359525247e+03 +1.359525247e+03 -1.6733e+00 +4.1186e-01 +5.2794e-01 +2.9859e+00 +2.8588e+00 +3.4120e-01 +9.6796e-03 +1.2734e+00 -4.2387e+00 +2.5279e-01 -3.1402e+00 -5.0000e+00 +4.8187e-01 -3.3051e+00 +1.1436e+00 +1.0121e+00 +3.9940e+00 -9.3230e-01 -1.5424e+00 +3.5799e-01
1747 +2.292535503e+02 +2.292535503e+02 +1.229253550e+03 +1.229253550e+03 +2.4973e-02 +2.5338e+00 +2.0570e+00 +2.3169e+00 +2.7776e+00 -2.5134e+00 -8.1578e-01 -4.6249e-02 -3.6001e+00 -6.3564e-01 -2.0990e+00 -1.8813e+00 -8.5863e-01 -3.6130e+00 +1.5423e+00 +2.3252e+00 +3.3457e+00 -1.9827e-01 -1.8222e+00 +1.5937e+00
3411 +1.510814833e+02 +1.510814833e+02 +1.151081483e+03 +1.151081483e+03 -2.8083e+00 +2.3011e+00 +2.8437e+00 +3.6700e+00 +2.8290e+00 -1.4664e+00 -1.1620e+00 +9.2365e-01 -4.1324e+00 -1.2638e+00 -3.1790e+00 -2.5226e+00 -6.9152e-01 -3.7956e+00 +3.5381e+00 +3.1203e+00 +2.4033e+00 -4.4660e-01 -1.7745e+00 -1.1543e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.067435054e+03 +3.067435054e+03 +3.137465054e+03 +3.137465054e+03 +4.3558e+00 -1.4240e+00 +2.0776e+00 +3.8254e+00 +1.0699e+00 -9.2353e-01 +1.6975e+00 +4.7514e+00 +1.6169e+00 +2.9255e+00 -1.5150e+00 +2.8332e+00 +4.4321e+00 -1.3967e+00 -3.3016e+00 -3.7830e+00 +4.6116e+00 -3.0905e+00 +3.8555e-01 -4.1412e+00
2 +1.429496968e+03 +1.429496968e+03 +1.499526968e+03 +1.499526968e+03 +1.3483e+00 -1.3931e+00 +3.9118e+00 -1.1561e+00 +1.7396e+00 +2.3663e-01 -3.5312e+00 +4.2518e-01 +4.4825e+00 -4.6269e+00 +4.8815e-01 -3.8120e+00 +3.7551e+00 +1.1899e+00 -8.8442e-01 -4.7472e+00 +2.1371e+00 -1.3373e+00 -2.7110e+00 -4.4095e+00
4 +7.881432890e+02 +7.881432890e+02 +8.581732890e+02 +8.581732890e+02 +2.1607e+00 +6.8789e-01 -3.3964e+00 -1.9990e+00 +1.9603e+00 -4.5409e+00 -3.5946e+00 -2.7693e+00 -9.4209e-01 +2.9161e+00 +4.6201e+00 -9.8881e-03 -1.3370e+00 -1.4211e+00 -4.6396e+00 -2.5358e+00 -4.1024e+00 +1.2427e+00 -2.7778e+00 -5.7584e-01
