% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.235323573e+03 +2.235323573e+03 +2.328263573e+03 +2.328263573e+03 +1.1535e+00 -2.1160e+00 -4.6867e+00 +3.5925e+00 -2.2533e+00 +1.1832e+00 -3.4731e+00 +2.0393e+00 +1.5967e-01 -3.2477e+00 +5.0610e-01 +4.4784e+00 -4.7286e+00 +7.0948e-01 -1.0309e+00 -6.8650e-01 +3.1262e+00 -1.8263e+00 -3.4517e-01 +1.6817e+00
8 +1.076821387e+03 +1.076821387e+03 +1.169761387e+03 +1.169761387e+03 +1.9134e+00 +3.1000e+00 -4.9118e-01 +3.2382e+00 -4.3137e+00 +2.0953e+00 +2.4595e+00 +3.6754e+00 -3.4107e+00 -2.2849e+00 +1.0656e+00 -3.5965e+00 +4.0639e+00 -1.6987e+00 +2.7615e+00 +4.1639e+00 +3.6028e+00 -1.9468e+00 +3.7268e+00 +2.2239e-01
56 +5.184294376e+02 +5.184294376e+02 +6.113694376e+02 +6.113694376e+02 +2.8756e+00 +9.0382e-01 +1.0266e+00 +4.7300e+00 -1.6470e+00 +2.4488e+00 +2.2725e+00 -1.3963e+00 +1.5858e+00 +2.3255e+00 -3.5057e+00 -5.1401e-01 +1.6215e+00 -2.1466e+00 +1.8609e+00 -3.4991e+00 +3.5665e+00 -3.3271e+00 -3.5209e+00 -2.0992e+00
422 +3.953072156e+02 +3.953072156e+02 +4.882472156e+02 +4.882472156e+02 +8.2169e-01 +5.0000e+00 -1.8904e+00 +4.9458e-01 -4.6823e+00 +1.0063e+00 +4.0267e+00 +1.6193e+00 +1.3786e+00 +2.4893e+00 -2.1285e+00 -4.7450e+00 -2.1732e+00 -4.2264e+00 +4.8362e+00 -4.4860e+00 +5.0000e+00 -5.0000e+00 -2.9083e+00 -5.0000e+00
655 +1.758463197e+02 +1.758463197e+02 +2.687863197e+02 +2.687863197e+02 +4.3386e-01 +5.0000e+00 +2.1883e+00 +0.0000e+00 -9.7542e-01 +3.7824e+00 +4.0960e+00 -8.6879e-01 +2.9558e+00 +1.5203e+00 +0.0000e+00 -3.1053e+00 +2.5545e+00 -1.5548e+00 +2.3939e+00 +1.4088e+00 +4.7772e+00 -3.9651e+00 -2.9762e+00 -3.5723e+00
1043 +1.061108333e+02 +1.061108333e+02 +1.990508333e+02 +1.990508333e+02 +7.5285e-01 +4.9949e+00 +2.0561e+00 -7.9463e-01 +9.2595e-01 +2.1425e+00 +2.7752e+00 -4.9578e-01 +4.2052e+00 +2.2018e+00 -8.4751e-01 -5.0000e+00 +2.4339e+00 -5.8932e-01 +2.1390e+00 +1.5799e+00 +4.4678e+00 -4.0703e+00 +2.2661e-01 -2.7259e+00
1505 +9.878399960e+01 +9.878399960e+01 +1.917239996e+02 +1.917239996e+02 +6.5336e-01 +4.4995e+00 +2.0918e+00 +5.9422e-01 -3.7987e-01 +2.4166e+00 +2.9147e+00 -1.1782e+00 +4.2328e+00 +3.3917e+00 -4.7468e-01 -4.2484e+00 +4.0147e-01 -9.4856e-01 +1.3536e+00 +1.1872e+00 +4.0200e+00 -4.0309e+00 +1.5281e+00 -2.4754e+00
2258 +4.270912532e+01 +4.270912532e+01 +1.356491253e+02 +1.356491253e+02 +1.5380e-01 +4.1527e+00 +1.3045e+00 +1.5032e+00 -1.8730e-01 +2.8387e+00 +3.2270e+00 -1.6786e+00 +4.3588e+00 +2.1324e+00 -7.2544e-01 -4.0481e+00 +2.5631e-01 -5.3605e-01 +1.9676e+00 +1.1118e+00 +4.1111e+00 -3.8821e+00 -3.3610e-01 -1.3702e+00
2707 +3.795434125e+01 +3.795434125e+01 +1.308943412e+02 +1.308943412e+02 +9.8591e-01 +3.9206e+00 +1.2712e+00 +1.0349e+00 +6.2334e-01 +3.0852e+00 +2.4960e+00 -1.6266e+00 +4.4035e+00 +2.2838e+00 +2.5390e+00 -3.6420e+00 -7.8832e-01 -8.3080e-02 +1.6948e+00 +1.2830e+00 +3.9990e+00 -3.8994e+00 -2.9079e-01 -2.2937e+00
3312 +2.360809253e+01 +2.360809253e+01 +1.165480925e+02 +1.165480925e+02 +1.2685e+00 +3.2068e+00 +1.2557e+00 +1.3089e+00 +1.1631e+00 +3.4255e+00 +2.3552e+00 -1.6047e+00 +4.2698e+00 +2.3810e+00 +1.7388e+00 -3.7198e+00 -7.6707e-01 -3.8883e-01 +1.6263e+00 +1.4272e+00 +3.8665e+00 -3.9965e+00 +3.1312e-01 -2.0239e+00
