% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.347032290e+04 +1.347032290e+04 +1.300823290e+04 +1.300823290e+04 +2.9343e+00 -4.1292e+00 -7.7499e-02 +1.1396e-01 +1.5439e+00 +4.7841e+00 +3.4695e+00 -1.0933e+00 -3.0017e+00 -2.1278e+00 -3.2599e+00 +2.4634e+00 -7.9771e-01 -1.9951e+00 +3.6467e+00 -4.6378e+00 +4.0619e+00 +1.4039e+00 -2.1404e-01 +1.8157e+00
2 +3.255904808e+03 +3.255904808e+03 +2.793814808e+03 +2.793814808e+03 -4.5528e+00 -3.3159e+00 -4.4194e+00 -9.8063e-01 +3.4541e+00 +2.1373e+00 +1.5533e+00 -2.7880e+00 -3.8927e-01 +1.9987e+00 +2.8619e+00 +4.0734e-01 +1.9401e+00 +2.0868e+00 +1.5239e+00 +4.3803e+00 -4.6456e+00 -3.2296e+00 -3.0591e+00 +4.1412e+00
5 +2.087023844e+03 +2.087023844e+03 +1.624933844e+03 +1.624933844e+03 -2.9290e-01 +3.4049e+00 +7.3707e-01 -4.7882e+00 -2.4113e+00 +1.5571e+00 +2.6139e+00 -1.0127e+00 +3.0522e+00 -1.7720e+00 +8.8710e-01 +4.7903e+00 -3.1562e+00 -6.6474e-01 -3.2447e+00 -2.5253e+00 -3.7364e+00 -4.5906e+00 -1.2080e+00 -1.6411e+00
23 +1.474616037e+03 +1.474616037e+03 +1.012526037e+03 +1.012526037e+03 +2.4922e+00 -4.0248e+00 -4.9178e+00 +3.6974e+00 -4.1225e+00 -1.1791e+00 -1.6230e+00 +2.5800e+00 -1.7265e+00 -8.7440e-01 +2.2274e+00 -1.5825e+00 -3.1989e+00 -4.5007e+00 +9.4884e-01 +3.3651e+00 -3.1010e+00 -4.8950e+00 +2.8786e+00 +1.0999e-01
59 +9.064303818e+02 +9.064303818e+02 +4.443403818e+02 +4.443403818e+02 +8.2874e-01 -2.6326e+00 -4.4864e+00 +1.1604e+00 -1.9823e+00 +1.5673e-01 +2.1000e-01 -3.5480e+00 +9.1985e-01 +2.8093e+00 -4.3111e-01 -3.6198e+00 -1.6103e+00 -1.1762e-01 -1.3908e-01 -1.5725e+00 -3.8613e+00 -1.3292e+00 +7.6231e-01 +3.8571e+00
387 +6.278654507e+02 +6.278654507e+02 +1.657754507e+02 +1.657754507e+02 +7.2619e-02 +1.3398e+00 -2.5243e+00 -1.2194e+00 -2.6199e+00 -8.4554e-01 +2.3217e+00 -1.3259e+00 +5.2516e-01 +2.5631e+00 +1.4642e+00 -1.5809e+00 -1.6495e-01 -1.6286e+00 +9.8370e-01 -8.5857e-01 -3.5584e+00 +1.4149e+00 +1.5802e+00 -8.1012e-02
929 +3.016726794e+02 +3.016726794e+02 -1.604173206e+02 -1.604173206e+02 +1.2631e+00 -7.3757e-01 -1.2758e+00 -6.5060e-02 -3.5082e+00 -1.9143e-01 +1.1083e+00 +2.9623e+00 +7.4648e-01 +2.4711e-01 +1.2022e+00 -4.1275e+00 -8.0127e-01 -1.4539e+00 +1.1143e+00 -2.7565e+00 +4.8496e-01 +2.8539e+00 +2.4700e+00 +2.5994e+00
2763 +2.494312381e+02 +2.494312381e+02 -2.126587619e+02 -2.126587619e+02 +1.4066e+00 -4.4375e-01 -1.2325e+00 +7.4850e-02 -2.4603e+00 -8.4769e-01 +1.7936e+00 +1.8332e+00 +1.3263e+00 +2.2314e-01 +2.2418e+00 -4.5058e+00 -7.8242e-01 -1.8555e+00 +9.2441e-01 -2.8308e+00 +2.4383e-01 +4.3460e+00 +2.4993e+00 +3.3534e+00
4055 +1.511311719e+02 +1.511311719e+02 -3.109588281e+02 -3.109588281e+02 +1.3442e+00 +3.5157e-01 -5.7008e-01 -7.5424e-02 -1.3753e+00 +7.6059e-01 +1.9106e+00 +1.9768e+00 +1.9406e+00 +5.6670e-01 +2.0255e+00 -4.6272e+00 -8.3690e-01 -1.7806e+00 +9.4690e-01 -3.1032e+00 +2.9193e-01 +3.6165e+00 +2.4640e+00 +1.8441e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.816073326e+03 +5.816073326e+03 +5.893733326e+03 +5.893733326e+03 +7.9310e-01 +2.3180e-01 +2.6978e+00 -4.9778e+00 -3.6471e+00 +3.8763e+00 -3.3896e+00 -3.0505e+00 +7.2088e-01 +1.5943e+00 +3.0771e+00 +1.0751e-01 +2.5642e+00 +1.3142e+00 +3.0688e+00 -3.6857e+00 +1.5878e+00 +4.3935e+00 -4.9686e+00 -4.1750e+00
2 +3.818400110e+03 +3.818400110e+03 +3.896060110e+03 +3.896060110e+03 -4.5179e+00 -4.0321e-01 +2.0541e+00 -3.2113e+00 +4.7607e+00 -2.9686e+00 -2.2869e+00 +1.0592e+00 -1.6166e+00 -5.0070e-02 +4.1428e+00 -2.3511e+00 -2.9759e-01 -4.9788e+00 +3.5728e+00 +8.6340e-01 +8.5280e-01 +4.7209e+00 -3.6440e+00 +3.0407e+00
5 +1.265311488e+03 +1.265311488e+03 +1.342971488e+03 +1.342971488e+03 +3.8050e+00 -3.0417e+00 +2.0967e-01 +4.5728e-01 -1.9126e+00 +3.3015e+00 -1.5924e-01 +3.9564e+00 -1.6536e+00 +4.1255e+00 +1.4587e+00 -2.0135e+00 -3.4836e+00 +4.4356e+00 +3.1671e+00 -2.8040e+00 -1.0747e+00 -2.3579e+00 +1.8761e+00 +3.3822e-01
99 +9.559414473e+02 +9.559414473e+02 +1.033601447e+03 +1.033601447e+03 +3.9686e-01 +1.2469e+00 +1.9763e+00 -1.4255e+00 -4.8277e-01 +2.3516e+00 -4.0965e+00 -2.1696e+00 -4.3995e+00 -2.8741e+00 +3.0608e+00 -7.0592e-01 -4.7995e+00 -1.3687e-01 -2.7812e+00 +2.6619e+00 -3.1437e+00 +2.9616e-01 +9.5763e-01 -3.0236e+00
405 +6.263259199e+02 +6.263259199e+02 +7.039859199e+02 +7.039859199e+02 -7.1891e-01 +5.0000e+00 +9.9894e-01 -5.0000e+00 -1.9242e-02 +0.0000e+00 -8.2903e-01 +1.7251e+00 -6.4263e-01 -6.9416e-01 +1.2246e+00 +2.5675e+00 -2.1828e+00 +3.3372e-01 -1.5277e+00 +4.5999e+00 -5.6334e-01 -2.6032e+00 +2.7884e+00 -1.8191e+00
1833 +3.689121503e+02 +3.689121503e+02 +4.465721503e+02 +4.465721503e+02 +4.5118e-01 +2.0337e+00 +2.7376e-02 -1.0615e+00 +1.0187e+00 +1.2610e+00 -3.4401e+00 +4.4741e-01 -3.9616e-01 -8.1496e-01 +2.3860e+00 -1.1892e+00 -1.2768e+00 -1.9789e+00 +5.1346e-01 +2.3919e-01 -2.5194e-02 -2.9743e+00 +1.1038e+00 -3.2624e+00
3154 +2.477964661e+02 +2.477964661e+02 +3.254564661e+02 +3.254564661e+02 -1.5550e+00 +2.4517e-01 +3.8406e-01 +2.3125e-01 +1.5483e+00 +1.1761e+00 +2.6366e-01 -8.1399e-01 +8.6790e-02 -2.7029e+00 +2.3188e+00 -7.9016e-01 -1.0580e+00 -1.9468e+00 +2.7097e+00 +3.0910e-01 -7.9107e-01 -3.3595e+00 +2.9026e+00 -4.0777e+00
4413 +1.584637677e+02 +1.584637677e+02 +2.361237677e+02 +2.361237677e+02 -2.5658e+00 +9.7039e-01 +2.7248e-01 +5.5038e-01 +8.6124e-01 +6.9495e-01 -5.4100e-02 -5.7104e-01 -5.0862e-01 -2.9943e+00 +2.3945e+00 -8.7907e-01 -6.9932e-01 -1.9272e+00 +2.4619e+00 +1.6826e+00 -5.4460e-01 -3.4883e+00 +2.7249e+00 -3.5273e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
