% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.163044159e+02 +2.163044159e+02 +2.957844159e+02 +2.957844159e+02 +2.2478e+00 +4.5753e+00 +1.3229e+00 -4.8681e+00 +1.4783e+00 +3.3938e-01 -8.9356e-01 +4.4297e+00 -2.8087e+00 +1.3330e-01 -1.4406e-01 +4.6219e+00 +2.7199e+00 +2.8398e+00 +2.0508e-01 +4.3508e+00 -4.2532e+00 -3.9992e+00 +4.4051e+00 -2.4078e+00
5 +1.506125886e+02 +1.506125886e+02 +2.300925886e+02 +2.300925886e+02 -1.5865e+00 -1.5025e-01 +1.6402e+00 -5.8008e-01 +2.0841e+00 -2.0794e+00 -1.7886e+00 +4.7452e+00 -4.1112e+00 -4.5311e+00 -3.3995e+00 +2.1320e+00 -2.6402e+00 +1.3428e+00 -1.1907e+00 +1.8402e+00 +3.8919e+00 -2.0029e+00 -2.8015e-01 +3.6562e+00
119 +9.683265957e+01 +9.683265957e+01 +1.763126596e+02 +1.763126596e+02 +3.1711e-02 -3.1561e+00 -1.1406e+00 +1.0523e+00 -1.0564e-01 +4.9042e+00 +6.3143e-01 -2.9546e-01 -1.8740e+00 -2.7409e+00 +4.3530e-01 -1.4511e+00 -4.4357e-02 -5.7081e-01 -6.1856e-01 +9.7489e-01 +2.9242e+00 -4.5128e+00 +1.4302e+00 +1.2029e+00
371 +6.275075177e+01 +6.275075177e+01 +1.422307518e+02 +1.422307518e+02 +1.2368e+00 -3.7180e-01 +6.8819e-02 +1.8905e+00 -2.7579e+00 +5.0000e+00 -2.7207e+00 +1.6993e-01 -2.8229e+00 -3.9197e+00 +3.7771e-01 +1.5802e+00 +2.4576e-01 -1.3925e+00 +2.8103e+00 +2.6025e+00 -1.6003e+00 -4.6259e+00 +6.2561e-01 -5.9258e-01
639 +3.654514585e+01 +3.654514585e+01 +1.160251459e+02 +1.160251459e+02 +2.0199e+00 +2.8814e-01 +7.8708e-01 +9.7067e-01 -1.2392e-01 +5.6199e-01 -1.0032e-01 +3.7744e-01 -1.1071e+00 -2.5711e+00 -2.5520e+00 +2.7894e+00 +1.4481e-01 +4.1687e-01 +1.9233e+00 +3.0345e+00 -1.1029e+00 -5.0000e+00 +8.8063e-01 -1.8486e+00
1467 +2.479756522e+01 +2.479756522e+01 +1.042775652e+02 +1.042775652e+02 +5.9538e-01 -1.9500e+00 -5.4056e-01 +1.3248e+00 -4.6559e+00 -7.8404e-01 -5.1097e-02 -7.4644e-01 -2.2572e+00 -3.6732e+00 -1.5354e+00 -5.3098e-01 +2.5367e+00 +2.8193e-01 +2.8005e+00 +3.7220e+00 +2.5313e-01 -4.5679e+00 +3.1887e+00 +1.4957e+00
1724 +1.501208657e+01 +1.501208657e+01 +9.449208657e+01 +9.449208657e+01 +1.3516e+00 -8.5117e-01 +8.9191e-01 +7.4245e-01 -2.1522e+00 -8.6451e-01 +7.3026e-01 +4.8680e-01 -7.6269e-01 -3.7960e+00 -3.7902e+00 +1.2380e+00 +1.7625e+00 +5.2503e-01 +2.6153e+00 +3.5208e+00 -8.0644e-01 -4.6361e+00 +2.5628e+00 +6.9452e-02
2202 +8.773626397e+00 +8.773626397e+00 +8.825362640e+01 +8.825362640e+01 +8.2461e-02 -1.8894e+00 -8.8803e-01 +1.2088e+00 -1.6509e+00 +1.0678e-01 +9.4261e-01 +6.4920e-01 -1.0531e+00 -2.5597e+00 -4.5976e+00 +1.4671e+00 +1.0776e+00 +6.0817e-01 +4.6696e+00 +2.1115e+00 -7.5487e-01 -4.5866e+00 +2.8809e+00 +7.3271e-01
2657 +5.978454295e+00 +5.978454295e+00 +8.545845430e+01 +8.545845430e+01 -8.9972e-02 -1.7431e+00 -8.5540e-01 +2.8474e+00 -3.2696e+00 +2.4110e-01 +4.7461e-02 +1.1273e+00 -1.1309e+00 -3.0139e+00 -3.9975e+00 +1.4517e+00 +1.6468e+00 +4.2980e-02 +4.9134e+00 +3.2479e+00 -1.9363e-01 -4.6823e+00 +2.4144e+00 +1.3912e+00
3206 +2.026249735e+00 +2.026249735e+00 +8.150624973e+01 +8.150624973e+01 +4.2892e-01 -1.2148e+00 -6.2082e-01 +1.5605e+00 -2.8078e+00 +7.6124e-01 -9.1279e-02 +6.2059e-01 -1.8813e+00 -3.0381e+00 -3.8215e+00 +1.3432e+00 +1.0561e+00 +1.7984e-02 +4.4349e+00 +3.2783e+00 -3.5189e-01 -4.2343e+00 +2.5192e+00 +1.5137e+00
